46.902671,7.376270,7.376315,46.902759,7.376315,46.902759,0.00,1.00,727.80,727.79,727.29,727.42,737.00,722.00,
46.902671,7.376271,7.376317,46.902759,7.376317,46.902759,0.03,1.00,727.87,727.84,727.38,727.52,737.00,722.00,
46.902671,7.376273,7.376318,46.902759,7.376318,46.902759,0.04,1.00,727.87,727.84,727.37,727.48,737.00,722.00,
46.902671,7.376275,7.376320,46.902759,7.376320,46.902759,0.04,1.00,727.81,727.75,727.29,727.37,737.00,722.00,
46.902671,7.376276,7.376321,46.902759,7.376321,46.902759,0.01,1.00,727.81,727.75,727.40,727.49,737.00,722.00,
46.902671,7.376278,7.376323,46.902759,7.376323,46.902759,0.04,1.00,727.84,727.80,727.43,727.50,737.00,722.00,
46.902671,7.376278,7.376323,46.902759,7.376323,46.902759,0.00,1.00,727.84,727.81,727.31,727.31,737.00,722.00,
46.902664,7.376271,7.376317,46.902751,7.376317,46.902751,1.27,1.00,727.81,727.77,727.35,727.28,737.00,722.00,
46.902664,7.376270,7.376315,46.902751,7.376315,46.902751,0.03,1.00,727.81,727.77,727.39,727.29,737.00,722.00,
46.902656,7.376266,7.376311,46.902744,7.376311,46.902744,0.90,1.00,727.81,727.77,727.25,727.12,737.00,722.00,
46.902656,7.376265,7.376310,46.902744,7.376310,46.902744,0.01,1.00,727.85,727.82,727.19,727.06,737.00,722.00,
46.902656,7.376266,7.376311,46.902744,7.376311,46.902744,0.01,1.00,727.87,727.81,727.18,727.00,737.00,722.00,
46.902645,7.376270,7.376315,46.902732,7.376315,46.902732,1.80,1.00,727.86,727.80,727.26,727.09,737.00,722.00,
46.902645,7.376273,7.376318,46.902732,7.376318,46.902732,0.14,1.00,727.80,727.77,727.26,727.09,737.00,722.00,
46.902645,7.376273,7.376318,46.902732,7.376318,46.902732,0.00,1.00,727.82,727.79,727.19,726.99,737.00,722.00,
46.902637,7.376276,7.376321,46.902725,7.376321,46.902725,0.82,1.00,727.80,727.76,727.07,726.88,737.00,722.00,
46.902637,7.376278,7.376323,46.902725,7.376323,46.902725,0.04,1.00,727.91,727.88,727.12,726.96,737.00,722.00,
46.902637,7.376280,7.376326,46.902725,7.376326,46.902725,0.07,1.00,727.85,727.81,727.16,727.02,737.00,722.00,
46.902637,7.376281,7.376327,46.902725,7.376327,46.902725,0.01,1.00,727.85,727.82,727.15,727.04,737.00,722.00,
46.902637,7.376283,7.376328,46.902725,7.376328,46.902725,0.04,1.00,727.82,727.76,727.18,727.03,737.00,722.00,
46.902637,7.376280,7.376326,46.902725,7.376326,46.902725,0.10,1.00,727.87,727.84,727.10,726.91,737.00,722.00,
46.902637,7.376278,7.376323,46.902725,7.376323,46.902725,0.07,1.00,727.82,727.78,726.99,726.77,737.00,722.00,
46.902629,7.376276,7.376321,46.902717,7.376321,46.902717,0.76,1.00,727.85,727.79,727.03,726.76,737.00,722.00,
46.902629,7.376273,7.376318,46.902717,7.376318,46.902717,0.10,1.00,727.84,727.80,727.09,726.84,737.00,722.00,
46.902629,7.376270,7.376315,46.902717,7.376315,46.902717,0.14,1.00,727.81,727.75,726.95,726.61,737.00,722.00,
46.902629,7.376266,7.376311,46.902717,7.376311,46.902717,0.18,1.00,727.84,727.83,726.92,726.62,737.00,722.00,
46.902629,7.376265,7.376310,46.902717,7.376310,46.902717,0.01,1.00,727.83,727.80,726.96,726.73,737.00,722.00,
