46.908432,7.358108,7.358206,46.908641,7.358206,46.908641,25.39,1.00,588.11,588.08,587.89,586.28,589.70,596.00,
46.908393,7.358093,7.358192,46.908603,7.358192,46.908603,20.50,1.00,588.15,588.12,587.88,586.28,589.70,596.00,
46.908344,7.358071,7.358170,46.908554,7.358170,46.908554,36.58,1.00,588.18,588.13,588.04,586.40,589.60,596.00,
46.908302,7.358045,7.358143,46.908512,7.358143,46.908512,30.24,1.00,588.14,588.09,588.02,586.35,589.30,596.00,
46.908260,7.358015,7.358114,46.908470,7.358114,46.908470,32.54,0.00,588.21,588.14,588.10,586.40,589.00,596.00,
46.908222,7.357987,7.358086,46.908432,7.358086,46.908432,27.42,0.00,588.19,588.08,588.08,586.34,588.80,596.00,
46.908180,7.357958,7.358057,46.908390,7.358057,46.908390,32.54,0.00,588.36,588.24,588.25,586.50,588.50,596.00,
46.908138,7.357933,7.358031,46.908348,7.358031,46.908348,29.64,0.00,588.58,588.48,588.47,586.73,588.10,596.00,
46.908100,7.357913,7.358012,46.908309,7.358012,46.908309,22.70,0.00,588.66,588.54,588.56,586.80,587.80,597.00,
46.908058,7.357882,7.357981,46.908267,7.357981,46.908267,33.25,0.00,588.84,588.69,588.73,586.95,587.70,597.00,
46.908008,7.357850,7.357949,46.908218,7.357949,46.908218,43.36,0.00,589.03,588.85,588.92,587.10,587.50,597.00,
46.907958,7.357811,7.357910,46.908168,7.357910,46.908168,48.80,0.00,589.41,589.16,589.30,587.42,587.50,597.00,
46.907913,7.357770,7.357869,46.908123,7.357869,46.908123,47.14,0.00,589.86,589.64,589.75,587.89,587.40,597.00,
46.907798,7.357660,7.357827,46.908073,7.357827,46.908073,52.13,1.00,590.31,590.09,590.20,588.35,587.40,597.00,
46.907749,7.357631,7.357798,46.908023,7.357798,46.908023,40.49,1.00,590.59,590.34,590.48,588.60,587.20,7377.00,
46.907699,7.357602,7.357769,46.907974,7.357769,46.907974,41.17,1.00,591.04,590.80,590.93,589.06,588.60,7006.00,
46.907669,7.357564,7.357731,46.907943,7.357731,46.907943,28.59,0.00,591.30,591.05,591.18,589.31,589.40,6541.00,
46.907642,7.357532,7.357699,46.907917,7.357699,46.907917,21.41,1.00,591.58,591.55,591.27,589.39,589.00,6141.00,
46.907611,7.357509,7.357676,46.907886,7.357676,46.907886,18.25,1.00,591.53,591.50,591.34,589.45,589.30,5849.00,
46.907585,7.357500,7.357667,46.907859,7.357667,46.907859,9.82,1.00,591.48,591.45,591.38,589.49,589.10,5735.00,
46.907577,7.357498,7.357665,46.907852,7.357665,46.907852,0.76,1.00,591.55,591.52,591.39,589.47,589.10,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.72,1.00,591.51,591.48,591.41,589.48,589.30,5711.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.04,1.00,591.54,591.51,591.47,589.55,589.30,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.51,591.48,591.50,589.60,589.20,5687.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.04,1.00,591.48,591.47,591.51,589.61,588.90,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.56,591.53,591.48,589.59,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.54,591.52,591.53,589.65,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.53,591.50,591.50,589.63,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.49,591.46,591.48,589.62,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.50,591.47,591.48,589.62,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.54,591.52,591.54,589.65,589.00,5711.00,
46.907569,7.357498,7.357665,46.907844,7.357665,46.907844,0.00,1.00,591.54,591.52,591.63,589.75,588.90,5711.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.04,1.00,591.53,591.50,591.54,589.68,589.00,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.56,591.53,591.59,589.73,589.00,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.53,591.50,591.57,589.73,589.00,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.54,591.51,591.55,589.71,589.00,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.57,591.55,591.61,589.79,589.00,5687.00,
46.907569,7.357496,7.357663,46.907844,7.357663,46.907844,0.00,1.00,591.57,591.55,591.64,589.83,589.00,5687.00,
46.907562,7.357500,7.357667,46.907836,7.357667,46.907836,0.90,1.00,591.57,591.55,591.62,589.83,589.00,5734.00,
46.907562,7.357498,7.357665,46.907836,7.357665,46.907836,0.04,1.00,591.53,591.50,591.56,589.76,588.90,5710.00,
46.907539,7.357524,7.357691,46.907814,7.357691,46.907814,14.97,1.00,591.53,591.50,591.51,589.69,588.60,6038.00,
46.907520,7.357574,7.357741,46.907794,7.357741,46.907794,35.46,1.00,591.48,591.45,591.44,589.62,588.40,6663.00,
46.907505,7.357634,7.357800,46.907779,7.357800,46.907779,46.06,0.00,591.23,591.19,591.19,589.35,588.40,7401.00,
46.907489,7.357702,7.357869,46.907764,7.357869,46.907764,60.31,0.00,591.52,591.49,591.48,589.65,588.50,8252.00,
46.907482,7.357775,7.357942,46.907756,7.357942,46.907756,66.46,0.00,591.50,591.45,591.46,589.62,588.40,595.00,
46.907463,7.357856,7.358023,46.907737,7.358023,46.907737,86.62,0.00,591.62,591.53,591.57,589.69,589.70,594.00,
